Controller,Kc,Ti,Td,OvershootValue,PeakTime_s,SettlingTime_s,DecayRatio,SteadyStateError,Score,MeetsAll
PID,5.25,0.75,1.3,0.0200804854691627,4.36,4.45292074331798,4.74023715536404,0,1.25976284463596,0
PID,1.5,0.5,1.55,0.0500733677607246,4.11,5.48964044360562,4.73031793160354,0,1.26968206839646,0
PID,2.5,1,1.7,0.0260682780421273,6.27,7.36669477599126,7.00663503766077,0,1.27,0
PID,2.75,1,1.75,0.0263647499194513,6.27,7.39672025914763,6.36128663535517,0,1.27,0
PI,9.5,0.5,NaN,0.427314553916977,0.35,1.55203088138507,7.90582767778964,0,1.27314553916977,0
PID,2.5,0.75,1.7,0.0343168133680587,5.21,6.5383475882809,4.93655634323849,0,1.27344365676151,0
PID,2,1,1.55,0.0232089723438278,6.28,7.0731643450104,9.59166011851175,0,1.28,0
PID,4.5,1,1.6,0.0202981105490871,5.8,6.02924747867216,5.51262552757088,0,1.28737447242912,0
PID,4.25,0.75,1.4,0.0239274312893509,4.57,5.24944427890351,4.7109116221027,0,1.2890883778973,0
PID,2.25,1,1.65,0.025390206191813,6.29,7.3253576855687,7.88609484872417,0,1.29,0
PID,4.75,0.75,1.35,0.0219009625330224,4.46,4.93034604843515,4.70667110351918,0,1.29332889648082,0
PID,2,1,1.5,0.022238088587661,6.22,6.86976764086891,10.0755869654532,0,1.29558696545319,0
PI,5.5,0.5,NaN,0.336002847337444,0.48,1.63317331313184,10.940095694164,0,1.30012416753843,0
PID,1.75,0.75,1.95,0.0402279481228336,5.74,7.39359301312913,5.43807124092208,0,1.30192875907792,0
PID,3.5,1,1.7,0.0238893992487201,6.06,6.92841298955213,5.75693398810909,0,1.30306601189092,0
PID,10.25,0.5,0.05,0.195419626534437,0.34,1.00386964771766,4.68859076190669,0,1.31140923809331,0
PI,9.75,0.5,NaN,0.431182361046173,0.34,1.53240678193645,7.74247218927616,0,1.31182361046173,0
PID,2,0.75,1.85,0.0382491360571737,5.53,7.0654970673218,5.20830678028868,0,1.32169321971132,0
PID,4,1,1.65,0.0220329833889521,5.92,6.54305707543237,5.59511591663313,0,1.32488408336687,0
